IdUnidade,Sigla,Descricao,SinProtocolo,SinArquivamento,SinOuvidoria
110004222,ADAPI-PI/DTO/GEDA/USAVBJ/PAPI,Escritório de Atendimento à Comunidade Palmeira do Piauí - ADAPI-PI,N,N,N
110004223,ADAPI-PI/DTO/GEDA/USAVBJ/REDGU,Escritório de Atendimento à Comunidade de Redenção do Gurguéia - ADAPI-PI,N,N,N
110004226,ADAPI-PI/DTO/GEDA/USAVBJ/STL,Escritório de Atendimento à Comunidade de Santa Luz - ADAPI-PI,N,N,N
110004216,ADAPI-PI/DTO/GEDA/USAVBOC/JOSE,Escritório de Atendimento à Comunidade de São José do Piauí - ADAPI-PI,N,N,N
110004215,ADAPI-PI/DTO/GEDA/USAVBOC/SJC,Escritório de Atendimento à Comunidade de São João da Canabrava - ADAPI-PI,N,N,N
110004235,ADAPI-PI/DTO/GEDA/USAVCAST/ASU,Escritório de Atendimento à Comunidade de Assunção do Piauí - ADAPI-PI,N,N,N
110004237,ADAPI-PI/DTO/GEDA/USAVCAST/BM,Escritório de Atendimento à Comunidade de Buriti dos Montes - ADAPI-PI,N,N,N
110004234,ADAPI-PI/DTO/GEDA/USAVCAST/SIG,Escritório de Atendimento à Comunidade de Sigefredo Pacheco - ADAPI-PI,N,N,N
110004238,ADAPI-PI/DTO/GEDA/USAVCAST/SJS,Escritório de Atendimento à Comunidade de São João da Serra - ADAPI-PI,N,N,N
110004236,ADAPI-PI/DTO/GEDA/USAVCAST/SMT,Escritório de Atendimento à Comunidade de São Miguel do Tapuio - ADAPI-PI,N,N,N
110004231,ADAPI-PI/DTO/GEDA/USAVCB/EM,Escritório de Atendimento à Comunidade de Elizeu Martins - ADAPI-PI,N,N,N
110004232,ADAPI-PI/DTO/GEDA/USAVCB/PAJ,Escritório de Atendimento à Comunidade de Pajeú do Piauí - ADAPI-PI,N,N,N
110004228,ADAPI-PI/DTO/GEDA/USAVCM/BOQ,Escritório de Atendimento à Comunidade de Boqueirão do Piauí - ADAPI-PI,N,N,N
110004229,ADAPI-PI/DTO/GEDA/USAVCM/JUA,Escritório de Atendimento à Comunidade de Juazeiro do Piauí - ADAPI-PI,N,N,N
110004242,ADAPI-PI/DTO/GEDA/USAVCOR/CRI,Escritório de Atendimento à Comunidade de Cristalândia - ADAPI-PI,N,N,N
110004240,ADAPI-PI/DTO/GEDA/USAVCOR/PVBE,Posto de Vigilância Agropecuária Boa Esperança - ADAPI-PI,N,N,N
110004243,ADAPI-PI/DTO/GEDA/USAVCOR/SEBA,Escritório de Atendimento à Comunidade Sebastião Leal - ADAPI-PI,N,N,N
110004241,ADAPI-PI/DTO/GEDA/USAVCOR/SGG,Escritório de Atendimento à Comunidade de São Gonçalo do Gurguéia - ADAPI-PI,N,N,N
110004245,ADAPI-PI/DTO/GEDA/USAVCUR/AV,Escritório de Atendimento à Comunidade de Avelino Lopes - ADAPI-PI,N,N,N
110004249,ADAPI-PI/DTO/GEDA/USAVCUR/JULB,Escritório de Atendimento à Comunidade de Júlio Borges - ADAPI-PI,N,N,N
110004246,ADAPI-PI/DTO/GEDA/USAVCUR/MCT,Escritório de Atendimento à Comunidade Morro Cabeça no Tempo - ADAPI-PI,N,N,N
110004247,ADAPI-PI/DTO/GEDA/USAVCUR/PNG,Escritório de Atendimento à Comunidade de Parnaguá - ADAPI-PI,N,N,N
110004248,ADAPI-PI/DTO/GEDA/USAVCUR/RCF,Escritório de Atendimento à Comunidade de Riacho Frio - ADAPI-PI,N,N,N
110004256,ADAPI-PI/DTO/GEDA/USAVESP/BTL,Escritório de Atendimento à Comunidade de Batalha - ADAPI-PI,N,N,N
110004257,ADAPI-PI/DTO/GEDA/USAVESP/MCP,Escritório de Atendimento à Comunidade de Morro do Chapéu - ADAPI-PI,N,N,N
110004252,ADAPI-PI/DTO/GEDA/USAVEV/FRAN,Escritório de Atendimento à Comunidade de Francinópolis - ADAPI-PI,N,N,N
110004253,ADAPI-PI/DTO/GEDA/USAVEV/PRT,Escritório de Atendimento à Comunidade de Prata do Piauí - ADAPI-PI,N,N,N
110004254,ADAPI-PI/DTO/GEDA/USAVEV/SFL,Escritório de Atendimento à Comunidade de São Félix do Piauí - ADAPI-PI,N,N,N
110004251,ADAPI-PI/DTO/GEDA/USAVEV/VG,Escritório de Atendimento à Comunidade de Várzea Grande - ADAPI-PI,N,N,N
110004260,ADAPI-PI/DTO/GEDA/USAVFLO/GUA,Escritório de Atendimento à Comunidade de Guadalupe - ADAPI-PI,N,N,N
110004261,ADAPI-PI/DTO/GEDA/USAVFLO/JER,Escritório de Atendimento à Comunidade de Jerumenha - ADAPI-PI,N,N,N
110004264,ADAPI-PI/DTO/GEDA/USAVFLO/MP,Escritório de Atendimento à Comunidade de Marcos Parente - ADAPI-PI,N,N,N
110004262,ADAPI-PI/DTO/GEDA/USAVFLO/NAZ,Escritório de Atendimento à Comunidade de Nazaré do Piauí - ADAPI-PI,N,N,N
110004259,ADAPI-PI/DTO/GEDA/USAVFLO/PVPT,Posto de Vigilância Agropecuária Pontões - ADAPI-PI,N,N,N
110004263,ADAPI-PI/DTO/GEDA/USAVFLO/SJPE,Escritório de Atendimento à Comunidade de São José do Peixe - ADAPI-PI,N,N,N
110004267,ADAPI-PI/DTO/GEDA/USAVFRO/CALD,Escritório de Atendimento à Comunidade de Caldeirão Grande do Piauí - ADAPI-PI,N,N,N
110004266,ADAPI-PI/DTO/GEDA/USAVFRO/PVLS,Posto de Vigilância Agropecuária Lagoa Seca - ADAPI-PI,N,N,N
110004269,ADAPI-PI/DTO/GEDA/USAVGILB/BRR,Escritório de Atendimento à Comunidade de Barreiras do Piauí - ADAPI-PI,N,N,N
110004365,ADAPI-PI/DTO/GEDA/USAVGILB/FIL,Escritório de Atendimento à Comunidade de Santa Filomena - ADAPI-PI,N,N,N
110004270,ADAPI-PI/DTO/GEDA/USAVGILB/MAP,Escritório de Atendimento à Comunidade de Monte Alegre do Piauí - ADAPI-PI,N,N,N
110004273,ADAPI-PI/DTO/GEDA/USAVIT/PAV,Escritório de Atendimento à Comunidade de Pavussu - ADAPI-PI,N,N,N
110004272,ADAPI-PI/DTO/GEDA/USAVIT/RGP,Escritório de Atendimento à Comunidade de Rio Grande do Piauí - ADAPI-PI,N,N,N
110004274,ADAPI-PI/DTO/GEDA/USAVIT/RIB,Escritório de Atendimento à Comunidade de Ribeira do Piauí - ADAPI-PI,N,N,N
110004279,ADAPI-PI/DTO/GEDA/USAVJAI/FRMA,Escritório de Atendimento à Comunidade de Francisco Macêdo - ADAPI-PI,N,N,N
110004278,ADAPI-PI/DTO/GEDA/USAVJAI/MAS,Escritório de Atendimento à Comunidade de Massapê do Piauí - ADAPI-PI,N,N,N
110004277,ADAPI-PI/DTO/GEDA/USAVJAI/PATO,Escritório de Atendimento à Comunidade de Patos do Piauí - ADAPI-PI,N,N,N
110004276,ADAPI-PI/DTO/GEDA/USAVJAI/PVCM,Posto de Vigilância Agropecuária Corinto Matos - ADAPI-PI,N,N,N
110004281,ADAPI-PI/DTO/GEDA/USAVJF/LAG,Escritório de Atendimento à Comunidade de Lagoa Alegre - ADAPI-PI,N,N,N
110004283,ADAPI-PI/DTO/GEDA/USAVJF/MIG,Escritório de Atendimento à Comunidade de Miguel Alves - ADAPI-PI,N,N,N
110004282,ADAPI-PI/DTO/GEDA/USAVJF/UNI,Escritório de Atendimento à Comunidade de União - ADAPI-PI,N,N,N
110004286,ADAPI-PI/DTO/GEDA/USAVLUZ/JP,Escritório de Atendimento à Comunidade de Joaquim Pires - ADAPI-PI,N,N,N
110004285,ADAPI-PI/DTO/GEDA/USAVLUZ/MUR,Escritório de Atendimento à Comunidade de Murici dos Portelas - ADAPI-PI,N,N,N
110004288,ADAPI-PI/DTO/GEDA/USAVNAZ/PALM,Escritório de Atendimento à Comunidade de Palmeirais - ADAPI-PI,N,N,N
110004292,ADAPI-PI/DTO/GEDA/USAVOE/CAJ,Escritório de Atendimento à Comunidade Cajazeiras do Piauí - ADAPI-PI,N,N,N
110004293,ADAPI-PI/DTO/GEDA/USAVOE/COLPI,Escritório de Atendimento à Comunidade de Colônia do Piauí - ADAPI-PI,N,N,N
110004295,ADAPI-PI/DTO/GEDA/USAVOE/ROSA,Escritório de Atendimento à Comunidade Santa Rosa do Piauí - ADAPI-PI,N,N,N
110004294,ADAPI-PI/DTO/GEDA/USAVOE/SFPI,Escritório de Atendimento à Comunidade São Francisco do Piauí - ADAPI-PI,N,N,N
110004291,ADAPI-PI/DTO/GEDA/USAVOE/SJV,Escritório de Atendimento à Comunidade de São João da Varjota - ADAPI-PI,N,N,N
110004290,ADAPI-PI/DTO/GEDA/USAVOE/TQ,Escritório de Atendimento à Comunidade de Tanque do Piauí - ADAPI-PI,N,N,N
110004298,ADAPI-PI/DTO/GEDA/USAVPAUL/ACA,Escritório de Atendimento à Comunidade de Acauã - ADAPI-PI,N,N,N
110004300,ADAPI-PI/DTO/GEDA/USAVPAUL/BET,Escritório de Atendimento à Comunidade Betânia do Piauí - ADAPI-PI,N,N,N
110004299,ADAPI-PI/DTO/GEDA/USAVPAUL/JAC,Escritório de Atendimento à Comunidade de Jacobina - ADAPI-PI,N,N,N
110004297,ADAPI-PI/DTO/GEDA/USAVPAUL/PVP,Posto de Vigilância Agropecuária Pipocas - ADAPI-PI,N,N,N
110004301,ADAPI-PI/DTO/GEDA/USAVPAUL/QN,Escritório de Atendimento à Comunidade de Queimada Nova - ADAPI-PI,N,N,N
110004307,ADAPI-PI/DTO/GEDA/USAVPHB/BL,Escritório de Atendimento à Comunidade Buriti dos Lopes - ADAPI-PI,N,N,N
110004304,ADAPI-PI/DTO/GEDA/USAVPHB/BP,Escritório de Atendimento à Comunidade de Bom Princípio - ADAPI-PI,N,N,N
110004308,ADAPI-PI/DTO/GEDA/USAVPHB/CAJU,Escritório de Atendimento à Comunidade de Cajueiro da Praia - ADAPI-PI,N,N,N
110004305,ADAPI-PI/DTO/GEDA/USAVPHB/IG,Escritório de Atendimento à Comunidade de Ilha Grande - ADAPI-PI,N,N,N
110004306,ADAPI-PI/DTO/GEDA/USAVPHB/LC,Escritório de Atendimento à Comunidade Luiz Correia - ADAPI-PI,N,N,N
110004303,ADAPI-PI/DTO/GEDA/USAVPHB/PVR,Posto de Vigilância Agropecuária Retiro - ADAPI-PI,N,N,N
110004310,ADAPI-PI/DTO/GEDA/USAVPIC/ARO,Escritório de Atendimento à Comunidade Aroeiras do Itaim - ADAPI-PI,N,N,N
110004311,ADAPI-PI/DTO/GEDA/USAVPIC/CGPI,Escritório de Atendimento à Comunidade de Campo Grande do Piauí - ADAPI-PI,N,N,N
110004312,ADAPI-PI/DTO/GEDA/USAVPIC/FS,Escritório de Atendimento à Comunidade de Francisco Santos - ADAPI-PI,N,N,N
110004313,ADAPI-PI/DTO/GEDA/USAVPIC/ITAI,Escritório de Atendimento à Comunidade Itainópolis - ADAPI-PI,N,N,N
110004314,ADAPI-PI/DTO/GEDA/USAVPIC/SANP,Escritório de Atendimento à Comunidade de Santana do Piauí - ADAPI-PI,N,N,N
110004326,ADAPI-PI/DTO/GEDA/USAVPII/DMOU,Escritório de Atendimento à Comunidade de Domingos Mourão - ADAPI-PI,N,N,N
110004325,ADAPI-PI/DTO/GEDA/USAVPII/MB,Escritório de Atendimento à Comunidade de Milton Brandão - ADAPI-PI,N,N,N
110004366,ADAPI-PI/DTO/GEDA/USAVPIRA/CCL,Escritório de Atendimento à Comunidade de Cocal dos Alves - ADAPI-PI,N,N,N
110004323,ADAPI-PI/DTO/GEDA/USAVPIRA/CRB,Escritório de Atendimento à Comunidade de Caraúbas - ADAPI-PI,N,N,N
110004321,ADAPI-PI/DTO/GEDA/USAVPIRA/PVJ,Posto de Vigilância Agropecuária Jacarandá - ADAPI-PI,N,N,N
110004322,ADAPI-PI/DTO/GEDA/USAVPIRA/SJD,Escritório de Atendimento à Comunidade de São José do Divino - ADAPI-PI,N,N,N
110004318,ADAPI-PI/DTO/GEDA/USAVPIRI/BRA,Escritório de Atendimento à Comunidade de Brasileira - ADAPI-PI,N,N,N
110004319,ADAPI-PI/DTO/GEDA/USAVPIRI/CC,Escritório de Atendimento à Comunidade de Capitão de Campos - ADAPI-PI,N,N,N
110004316,ADAPI-PI/DTO/GEDA/USAVPIRI/PVF,Posto de Vigilância Agropecuária São João da Fronteira - ADAPI-PI,N,N,N
